id;camera_name;price;megapixel;max_resolution_width;max_resolution_length;sensor_size;min_iso;max_iso;min_shutter_speed;max_shutter_speed;continues_drive;max_video_resolution_width;max_video_resolution_length;max_video_fps;battery_life;articulated_lcd;usage;camera_type;screen_dots;weight;image_url
11;Sony ZV-1F;Rp7,999,000.00;20,1;5472;3648;"1""";125;6400; 1/4;  1/32000;16;3840;2160;120;360;Fully Articulated;traveling;Mirrorless;921,600;256;https://dummyimage.com/400x300/7c3ffa/ffffff&text=Sony+ZV-1F
12;Nikon Z30;Rp13,999,000.00;20,9;5568;3712;APS-C;100;51200;30;  1/4000 ;11;3840;2160;120;330;Fully Articulated;traveling;Mirrorless;1,040,000;405;https://dummyimage.com/400x300/9f9971/ffffff&text=Nikon+Z30
13;Ricoh GR IIIx;Rp18,610,000.00;24;6000;4000;APS-C;100;102400;30;  1/4000 ;4;1920;1080;60;200;Fixed;traveling;Mirrorless;1,037,000;262;https://dummyimage.com/400x300/43bcf4/ffffff&text=Ricoh+GR+IIIx
14;Fujifilm X-T30 II;Rp15,199,000.00;26,1;6240;4160;APS-C;160;12800;900;  1/4000 ;30;4096;2160;120;380;Tilting;traveling;Mirrorless;1,040,000;383;https://dummyimage.com/400x300/04b8d3/ffffff&text=Fujifilm+X-T30+II
15;Sony ZV-E10;Rp11,999,000.00;24;6000;4000;APS-C;100;32000;30;  1/4000 ;11;3840;1920;120;440;Fully Articulated;traveling;Mirrorless;920,000;343;https://dummyimage.com/400x300/da9a2a/ffffff&text=Sony+ZV-E10
16;Nikon Z fc;Rp18,599,000.00;21;5568;3712;APS-C;100;51200;30;  1/4000 ;11;3840;2160;120;300;Fully Articulated;profesional;Mirrorless;1,040,000;445;https://dummyimage.com/400x300/77deb3/ffffff&text=Nikon+Z+fc
17;Fujifilm X-E4;Rp18,999,000.00;26;6240;4160;APS-C;160;12800;4;  1/4000 ;20;4096;2160;240;380;Tilting;profesional;Mirrorless;1,620,000;364;https://dummyimage.com/400x300/c652cd/ffffff&text=Fujifilm+X-E4
18;Fujifilm X-S10;Rp16,499,000.00;26;6240;4160;APS-C;160;12800;900;  1/4000 ;20;4096;2160;240;325;Fully Articulated;profesional;Mirrorless;1,040,000;465;https://dummyimage.com/400x300/95e18c/ffffff&text=Fujifilm+X-S10
19;Canon EOS M50 Mark II;Rp13,299,000.00;24;6000;4000;APS-C;100;25600;30;  1/4000 ;10;3840;2160;120;305;Fully Articulated;profesional;Mirrorless;1,040,000;387;https://dummyimage.com/400x300/4b01da/ffffff&text=Canon+EOS+M50+Mark+II
20;Olympus OM-D E-M10 IV;Rp13,999,000.00;20;5184;3888;Four Thirds;200;25600;60;  1/4000 ;15;3840;2160;60;360;Tilting;profesional;Mirrorless;1,040,000;383;https://dummyimage.com/400x300/e1c6de/ffffff&text=Olympus+OM-D+E-M10+IV
21;Sony ZV-1;Rp10,099,000.00;20,1;5472;3648;"1""";100;12800;30;  1/2000 ;24;3840;2160;120;260;Fully Articulated;profesional;Mirrorless;921,600;294;https://dummyimage.com/400x300/a39ef9/ffffff&text=Sony+ZV-1
22;Sony ZV-1 Mark II;Rp13,999,000.00;20,1;5472;3648;"1""";125;12800; 1/4;  1/32000;24;3840;2160;120;290;Fully Articulated;profesional;Mirrorless;921,600;292;https://dummyimage.com/400x300/8095e4/ffffff&text=Sony+ZV-1+Mark+II
23;Panasonic Lumix DC-G100;Rp10,799,000.00;20,3;5184;3888;Four Thirds;200;25600;60;  1/500  ;10;3840;1920;120;270;Fully Articulated;profesional;Mirrorless;1,840,000;352;https://dummyimage.com/400x300/5c12aa/ffffff&text=Panasonic+Lumix+DC-G100
24;Canon EOS 850D;Rp16,799,000.00;24;6000;4000;APS-C;100;25600;30;  1/4000 ;75;3840;2160;60;800;Fully Articulated;vlogging;Mirrorless;1,040,000;515;https://dummyimage.com/400x300/fde012/ffffff&text=Canon+EOS+850D
25;Fujifilm X100V;Rp22,199,000.00;26,1;6240;4160;APS-C;160;12800;30;  1/4000 ;11;4096;2160;120;420;Tilting;vlogging;Mirrorless;1,620,000;478;https://dummyimage.com/400x300/7cf8ab/ffffff&text=Fujifilm+X100V
26;Fujifilm X-T200;Rp9,499,000.00;24,2;6000;4000;APS-C;200;12800;4;  1/4000 ;8;3840;2160;120;270;Fully Articulated;vlogging;Mirrorless;2,780,000;370;https://dummyimage.com/400x300/3a9033/ffffff&text=Fujifilm+X-T200
27;Olympus OM-D E-M5 III;Rp21,999,000.00;20,4;5184;3888;Four Thirds;200;25600;60;  1/8000 ;30;4096;2160;120;310;Fully Articulated;vlogging;Mirrorless;1,040,000;414;https://dummyimage.com/400x300/36ce65/ffffff&text=Olympus+OM-D+E-M5+III
28;Nikon Z50;Rp17,499,000.00;21;5568;3712;APS-C;100;51200;30;  1/4000 ;11;3840;2160;120;320;Tilting;vlogging;Mirrorless;1,040,000;450;https://dummyimage.com/400x300/95440b/ffffff&text=Nikon+Z50
29;Canon EOS M200;Rp8,499,000.00;24,1;6000;4000;APS-C;100;25600;30;  1/4000 ;61;3840;2160;60;315;Tilting;vlogging;Mirrorless;1,040,000;299;https://dummyimage.com/400x300/0d5ead/ffffff&text=Canon+EOS+M200
30;Sony a6100;Rp10,099,000.00;24,2;6000;4000;APS-C;100;32000;30;  1/4000 ;11;3840;2160;120;420;Tilting;vlogging;Mirrorless;921,600;396;https://dummyimage.com/400x300/8c26a7/ffffff&text=Sony+a6100
31;Canon EOS M6 Mark II;Rp14,799,000.00;32,5;6960;4640;APS-C;100;25600;30;  1/4000 ;14;3840;2160;120;305;Tilting;vlogging;Mirrorless;1,040,000;408;https://dummyimage.com/400x300/056823/ffffff&text=Canon+EOS+M6+Mark+II
32;Sony DSC-RX100 VII;Rp20,199,000.00;20,1;5472;3648;"1""";100;12800;30;  1/2000 ;90;3840;2160;120;260;Tilting;vlogging;Mirrorless;921,000;302;https://dummyimage.com/400x300/aa4e4f/ffffff&text=Sony+DSC-RX100+VII
33;Canon PowerShot G5 X Mark II;Rp12,690,000.00;20,1;5472;3648;"1""";125;12800;30;  1/2000 ;30;3840;2160;120;230;Tilting;vlogging;Mirrorless;1,040,000;340;https://dummyimage.com/400x300/f53f13/ffffff&text=Canon+PowerShot+G5+X+Mark+II
34;Canon PowerShot G7 X Mark III;Rp12,999,000.00;20,1;5472;3648;"1""";125;12800;30;  1/2000 ;30;3840;2160;120;235;Tilting;vlogging;Mirrorless;1,040,000;304;https://dummyimage.com/400x300/0a8520/ffffff&text=Canon+PowerShot+G7+X+Mark+III
35;Canon EOS 250D;Rp8,500,000.00;24,1;6000;4000;APS-C;100;25600;30;  1/4000 ;5;3840;2160;60;1070;Fully Articulated;vlogging;Mirrorless;1,040,000;449;https://dummyimage.com/400x300/33ff66/ffffff&text=Canon+EOS+250D
36;Panasonic Lumix DC-G95;Rp16,999,000.00;20,3;5184;3888;Four Thirds;200;25600;60;  1/4000 ;9;3840;2160;120;290;Fully Articulated;profesional;Mirrorless;1,240,000;536;https://dummyimage.com/400x300/0e6b26/ffffff&text=Panasonic+Lumix+DC-G95
37;Panasonic Lumix DC-G90;Rp16,490,000.00;20,3;5184;3888;Four Thirds;200;25600;60;  1/4000 ;9;3840;2160;120;290;Fully Articulated;profesional;Mirrorless;1,040,000;536;https://dummyimage.com/400x300/3b59d5/ffffff&text=Panasonic+Lumix+DC-G90
38;Sony DSC-RX0 II;Rp10,100,000.00;15,3;4800;3200;"1""";200;25600; 1/4;  1/32000;16;3840;2160;120;240;Tilting;profesional;Mirrorless;230,400;132;https://dummyimage.com/400x300/033714/ffffff&text=Sony+DSC-RX0+II
39;Panasonic Lumix DC-FZ1000 II;Rp13,479,000.00;20,1;5472;3648;"1""";125;12800;60;  1/4000 ;12;3840;2160;60;350;Fully Articulated;profesional;Mirrorless;1,240,000;808;https://dummyimage.com/400x300/ca6c64/ffffff&text=Panasonic+Lumix+DC-FZ1000+II
40;Leica D-Lux 7;Rp20,890,000.00;17;4736;3552;Four Thirds;200;25600;1800;  1/4000 ;11;3840;2160;60;340;Fixed;profesional;Mirrorless;1,240,000;403;https://dummyimage.com/400x300/4b0894/ffffff&text=Leica+D-Lux+7
41;Sony a6400;Rp15,199,000.00;24,2;6000;4000;APS-C;100;32000;30;  1/4000 ;11;3840;2160;120;410;Tilting;profesional;Mirrorless;921,600;403;https://dummyimage.com/400x300/fccf5f/ffffff&text=Sony+a6400
42;Fujifilm X-T30;Rp15,199,000.00;26,1;6240;4160;APS-C;160;12800;900;  1/4000 ;30;4096;2160;120;380;Tilting;profesional;Mirrorless;1,040,000;383;https://dummyimage.com/400x300/1c406b/ffffff&text=Fujifilm+X-T30
43;Canon EOS RP;Rp17,999,000.00;26,2;6240;4160;Full Frame;100;40000;30;  1/4000 ;5;3840;2160;60;250;Fully Articulated;profesional;Mirrorless;1,040,000;485;https://dummyimage.com/400x300/84e322/ffffff&text=Canon+EOS+RP
44;Ricoh GR III;Rp17,599,000.00;24;6000;4000;APS-C;100;102400;30;  1/4000 ;4;1920;1080;60;200;Fixed;profesional;Mirrorless;1,037,000;257;https://dummyimage.com/400x300/7c1f10/ffffff&text=Ricoh+GR+III
45;Fujifilm X-T3;Rp22,199,000.00;26;6240;4160;APS-C;160;12800;30;  1/8000 ;20;4096;2160;120;390;Tilting;profesional;Mirrorless;1,040,000;539;https://dummyimage.com/400x300/aa2184/ffffff&text=Fujifilm+X-T3
46;Panasonic Lumix DC-LX100 II;Rp11,999,000.00;17;4736;3552;Four Thirds;200;25600;1800;  1/4000 ;11;3840;2160;60;340;Fixed;profesional;Mirrorless;1,240,000;392;https://dummyimage.com/400x300/bc15b6/ffffff&text=Panasonic+Lumix+DC-LX100+II
47;Nikon D3500;Rp6,999,000.00;24,2;6000;4000;APS-C;100;25600;30;  1/4000 ;5;1920;1080;60;1550;Fixed;profesional;Mirrorless;921,000;365;https://dummyimage.com/400x300/4a8375/ffffff&text=Nikon+D3500
48;Fujifilm XF10;Rp7,699,000.00;24,2;6000;4000;APS-C;200;12800;30;  1/4000 ;6;3840;2160;60;330;Fixed;profesional;Mirrorless;1,040,000;279;https://dummyimage.com/400x300/a60ede/ffffff&text=Fujifilm+XF10
49;Sony Cyber-shot DSC-RX100 VA;Rp14,999,000.00;20,1;5472;3648;"1""";125;12800;30;  1/2000 ;24;3840;2160;120;220;Tilting;profesional;Mirrorless;1,228,800;299;https://dummyimage.com/400x300/9aaed7/ffffff&text=Sony+Cyber-shot+DSC-RX100+VA
50;Leica C-Lux;Rp17,720,000.00;20,1;5472;3648;"1""";125;12800;60;  1/2000 ;10;3840;2160;60;370;Fixed;profesional;Mirrorless;1,240,000;340;https://dummyimage.com/400x300/79d3be/ffffff&text=Leica+C-Lux
51;Sony Cyber-shot DSC-RX100 VI;Rp16,199,000.00;20,1;5472;3648;"1""";125;12800;30;  1/2000 ;24;3840;2160;120;240;Tilting;profesional;Mirrorless;1,228,800;301;https://dummyimage.com/400x300/405257/ffffff&text=Sony+Cyber-shot+DSC-RX100+VI
52;Fujifilm X-T100;Rp9,499,000.00;24,2;6000;4000;APS-C;200;12800;30;  1/4000 ;6;3840;2160;60;430;Tilting;profesional;Mirrorless;1,040,000;448;https://dummyimage.com/400x300/a09a21/ffffff&text=Fujifilm+X-T100
53;Canon EOS M50 ;Rp13,299,000.00;24,1;6000;4000;APS-C;100;25600;30;  1/4000 ;10;3840;2160;120;235;Fully Articulated;profesional;Mirrorless;1,040,000;390;https://dummyimage.com/400x300/f4519b/ffffff&text=Canon+EOS+M50 
54;Canon EOS 2000D;Rp5,999,000.00;24,1;6000;4000;APS-C;100;6400;30;  1/4000 ;3;1920;1080;60;500;Fixed;profesional;Mirrorless;920,000;475;https://dummyimage.com/400x300/7854bf/ffffff&text=Canon+EOS+2000D
55;Canon EOS 4000D;Rp5,499,000.00;18;5184;3456;APS-C;100;6400;30;  1/4000 ;3;1920;1080;60;500;Fixed;profesional;Mirrorless;230,000;436;https://dummyimage.com/400x300/672d1c/ffffff&text=Canon+EOS+4000D
56;Panasonic Lumix DC-GX9;Rp12,399,000.00;20,3;5184;3888;Four Thirds;200;25600;60;  1/4000 ;9;3840;2160;60;260;Tilting;profesional;Mirrorless;1,240,000;450;https://dummyimage.com/400x300/6ac04f/ffffff&text=Panasonic+Lumix+DC-GX9
57;Panasonic Lumix DC-ZS200;Rp9,600,000.00;20,1;5472;3648;"1""";125;12800;60;  1/2000 ;10;3840;2160;60;370;Fixed;profesional;Mirrorless;1,240,000;340;https://dummyimage.com/400x300/bf0fff/ffffff&text=Panasonic+Lumix+DC-ZS200
58;Panasonic Lumix DC-TZ200;Rp9,600,000.00;20,1;5472;3648;"1""";125;12800;60;  1/2000 ;10;3840;2160;60;370;Fixed;profesional;Mirrorless;1,240,000;340;https://dummyimage.com/400x300/7f109f/ffffff&text=Panasonic+Lumix+DC-TZ200
59;Panasonic Lumix DC-GF10;Rp7,099,000.00;16,8;4592;3448;Four Thirds;200;25600;60;  1/500  ;10;3840;2160;60;210;Tilting;profesional;Mirrorless;1,040,000;270;https://dummyimage.com/400x300/268ed4/ffffff&text=Panasonic+Lumix+DC-GF10
60;Fujifilm X-A5;Rp7,999,000.00;24,2;6000;4000;APS-C;200;12800;30;  1/4000 ;6;3840;2160;120;450;Tilting;profesional;Mirrorless;1,040,000;361;https://dummyimage.com/400x300/577657/ffffff&text=Fujifilm+X-A5
61;Pentax WG-8 ;Rp7,250,000.00;20;5184;3888;"1/2.3""";125;6400; 1/4;  1/4000 ;1;3840;2160;120;340;Fixed;profesional;Mirrorless;1,040,000;242;https://dummyimage.com/400x300/479fdd/ffffff&text=Pentax+WG-8 
62;Pentax WG-90;Rp6,250,000.00;16;4608;3456;"1/2.3""";125;6400;4;  1/4000 ;1;1920;1080;120;300;Fixed;profesional;Mirrorless;230,000;193;https://dummyimage.com/400x300/56dd52/ffffff&text=Pentax+WG-90
63;OM System Tough TG-7;Rp9,499,000.00;12;4000;3000;"1/2.3""";100;12800;4;  1/2000 ;20;3840;2160;60;330;Fixed;profesional;Mirrorless;1,040,000;249;https://dummyimage.com/400x300/d301f7/ffffff&text=OM+System+Tough+TG-7
64;Ricoh WG-80;Rp6,000,000.00;16;4608;3456;"1/2.3""";125;6400;4;  1/4000 ;30;1920;1080;120;300;Fixed;profesional;Mirrorless;230,000;193;https://dummyimage.com/400x300/39f333/ffffff&text=Ricoh+WG-80
65;Ricoh WG-70;Rp4,000,000.00;16;4608;3456;"1/2.3""";125;6400;4;  1/4000 ;30;1920;1080;120;300;Fixed;profesional;Mirrorless;230,000;193;https://dummyimage.com/400x300/48934f/ffffff&text=Ricoh+WG-70
66;Nikon Coolpix P950;Rp11,999,000.00;16;4608;3456;"1/2.3""";100;6400;60;  1/4000 ;7;3840;2160;60;290;Fully Articulated;profesional;Mirrorless;921,000;1005;https://dummyimage.com/400x300/29bfa0/ffffff&text=Nikon+Coolpix+P950
67;Olympus PEN E-PL10;Rp7,410,000.00;16;4608;3456;Four Thirds;100;25600;60;  1/4000 ;141;3840;2160;60;350;Tilting;profesional;Mirrorless;1,037,000;380;https://dummyimage.com/400x300/a48ff9/ffffff&text=Olympus+PEN+E-PL10
68;Fujifilm X-A7;Rp10,499,000.00;24;6000;4000;APS-C;100;12800;30;  1/4000 ;6;3840;2160;60;270;Fully Articulated;profesional;Mirrorless;2,760,000;320;https://dummyimage.com/400x300/29fae2/ffffff&text=Fujifilm+X-A7
69;Olympus Tough TG-6;Rp6,350,000.00;12;4000;3000;"1/2.3""";100;12800;4;  1/2000 ;20;3840;2160;60;340;Fixed;profesional;Mirrorless;1,040,000;253;https://dummyimage.com/400x300/6035da/ffffff&text=Olympus+Tough+TG-6
70;Ricoh G900;Rp13,900,000.00;20;5184;3888;"1/2.3""";125;25600; 1/4;  1/4000 ;1;3840;2160;120;340;Fixed;profesional;Mirrorless;1,040,000;247;https://dummyimage.com/400x300/e3d07d/ffffff&text=Ricoh+G900
71;Ricoh WG-6;Rp6,328,000.00;20;5184;3888;"1/2.3""";125;6400;4;  1/4000 ;1;3840;2160;120;340;Fixed;profesional;Mirrorless;1,040,000;246;https://dummyimage.com/400x300/57608a/ffffff&text=Ricoh+WG-6
72;Panasonic Lumix DC-ZS80;Rp7,399,000.00;20,1;4864;3648;"1""";125;12800;60;  1/4000 ;12;3840;2160;120;380;Tilting;profesional;Mirrorless;1,240,000;327;https://dummyimage.com/400x300/d955ae/ffffff&text=Panasonic+Lumix+DC-ZS80
73;Nikon Coolpix B600;Rp4,999,000.00;16;4608;3456;"1/2.3""";125;6400;1;  1/4000 ;15;1920;1080;60;280;Fixed;profesional;Mirrorless;921,000;500;https://dummyimage.com/400x300/c92616/ffffff&text=Nikon+Coolpix+B600
74;Nikon Coolpix A1000;Rp7,499,000.00;16;4608;3456;"1/2.3""";125;6400;8;  1/4000 ;1;3840;2160;60;250;Tilting;profesional;Mirrorless;921,000;330;https://dummyimage.com/400x300/a8a700/ffffff&text=Nikon+Coolpix+A1000
75;Canon PowerShot SX70 HS;Rp12,499,000.00;20,3;5184;3888;"1/2.3""";100;3200;15;  1/2000 ;10;3840;2160;60;325;Fully Articulated;profesional;Mirrorless;922,000;608;https://dummyimage.com/400x300/a26e63/ffffff&text=Canon+PowerShot+SX70+HS
76;Sony Cyber-shot DSC-HX99 ;Rp8,099,000.00;18,2;4896;3672;"1/2.3""";80;12800;30;  1/2000 ;10;3840;2160;120;460;Tilting;profesional;Mirrorless;921,000;242;https://dummyimage.com/400x300/228b79/ffffff&text=Sony+Cyber-shot+DSC-HX99 
77;Canon PowerShot SX740 HS;Rp8,999,000.00;20,3;5184;3888;"1/2.3""";100;3200;15;  1/3200 ;10;3840;2160;60;265;Tilting;profesional;Mirrorless;922,000;299;https://dummyimage.com/400x300/5b8951/ffffff&text=Canon+PowerShot+SX740+HS
78;Nikon Coolpix P1000;Rp15,999,000.00;16;4608;3456;"1/2.3""";100;6400;60;  1/4000 ;7;3840;2160;60;250;Fully Articulated;profesional;Mirrorless;921,000;1415;https://dummyimage.com/400x300/f807bf/ffffff&text=Nikon+Coolpix+P1000
79;Panasonic Lumix DC-TS7 ;Rp6,300,000.00;20,4;5184;3888;"1/2.3""";80;3200;4;  1/1300 ;10;3840;2160;60;300;Fixed;profesional;Mirrorless;1,040,000;319;https://dummyimage.com/400x300/ca949f/ffffff&text=Panasonic+Lumix+DC-TS7 
80;Fujifilm FinePix XP130;Rp2,980,000.00;16;4608;3456;"1/2.3""";100;3200;4;  1/2000 ;10;1920;1080;60;240;Fixed;profesional;Mirrorless;920,000;207;https://dummyimage.com/400x300/4e2d39/ffffff&text=Fujifilm+FinePix+XP130
81;Olympus PEN E-PL9;Rp10,499,000.00;16;4608;3456;Four Thirds;200;6400;60;  1/4000 ;86;3840;2160;120;350;Tilting;profesional;Mirrorless;1,040,000;380;https://dummyimage.com/400x300/255dac/ffffff&text=Olympus+PEN+E-PL9
82;Canon EOS M5 ;Rp14,999,000.00;24,2;6000;4000;APS-C;100;25600;30;  1/4000 ;9;1920;1080;60;295;Tilting;profesional;Mirrorless;1,620,000;427;https://dummyimage.com/400x300/1b3389/ffffff&text=Canon+EOS+M5 
83;Fujifilm X-A3;Rp5,799,000.00;24;6000;4000;APS-C;200;6400;30;  1/4000 ;6;1920;1080;60;410;Tilting;profesional;Mirrorless;1,040,000;339;https://dummyimage.com/400x300/6aea72/ffffff&text=Fujifilm+X-A3
84;Fujifilm X-T20;Rp14,499,000.00;24,3;6000;4000;APS-C;200;12800;30;  1/4000 ;8;3840;2160;60;350;Tilting;profesional;Mirrorless;1,040,000;383;https://dummyimage.com/400x300/e162ea/ffffff&text=Fujifilm+X-T20
